sample	value	chemo	group	type	color
TSB_CK_3	617.74	Atractylodin	TSB_CK1	Rhizosphere	1
S.chromofuscus_1	1080.02	Atractylodin	S.chromofuscus	Rhizosphere	1
S.chromofuscus_2	1322.59	Atractylodin	S.chromofuscus	Rhizosphere	1
S.chromofuscus_3	1460.44	Atractylodin	S.chromofuscus	Rhizosphere	1
S.cyaneochromogenes_1	715.03	Atractylodin	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_2	1173.56	Atractylodin	S.cyaneochromogenes	Rhizosphere	1
S.cyaneochromogenes_3	1285.72	Atractylodin	S.cyaneochromogenes	Rhizosphere	1
S.mayteni_1	1519.07	Atractylodin	S.mayteni	Rhizosphere	1
S.mayteni_2	1401.84	Atractylodin	S.mayteni	Rhizosphere	1
S.mayteni_3	1416.5	Atractylodin	S.mayteni	Rhizosphere	1
PDB_CK_1	675.5336	Atractylodin	PDB_CK	Rhizosphere	2
PDB_CK_2	766.6595	Atractylodin	PDB_CK	Rhizosphere	2
PDB_CK_3	687.4722	Atractylodin	PDB_CK	Rhizosphere	2
PDB_CK_4	749.3933	Atractylodin	PDB_CK	Rhizosphere	2
PDB_CK_5	737.4384	Atractylodin	PDB_CK	Rhizosphere	2
Paenibacillus alvei_1	1368.083	Atractylodin	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_2	428.5486	Atractylodin	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_3	1250.567	Atractylodin	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_4	1361.474	Atractylodin	Paenibacillus alvei	Rhizosphere	2
Paenibacillus alvei_5	1235.525	Atractylodin	Paenibacillus alvei	Rhizosphere	2
TSB_CK_1	145.6279	Hineson	TSB_CK2	Rhizome	3
TSB_CK_2	161.8182	Hineson	TSB_CK2	Rhizome	3
TSB_CK_3	138.018	Hineson	TSB_CK2	Rhizome	3
TSB_CK_1	111.1823	β_Eudesmol	TSB_CK2	Rhizome	3
TSB_CK_2	121.7721	β_Eudesmol	TSB_CK2	Rhizome	3
TSB_CK_3	104.5282	β_Eudesmol	TSB_CK2	Rhizome	3
TSB_CK_1	104.7525	Atractylon	TSB_CK2	Rhizome	3
TSB_CK_2	123.9611	Atractylon	TSB_CK2	Rhizome	3
TSB_CK_3	99.2316	Atractylon	TSB_CK2	Rhizome	3
TSB_CK_1	415.8836	Atractylodin	TSB_CK2	Rhizome	3
TSB_CK_2	621.2842	Atractylodin	TSB_CK2	Rhizome	3
TSB_CK_3	617.7386	Atractylodin	TSB_CK2	Rhizome	3
TSB_Re359_1	4.850788	Hineson	TSB_Re359	Rhizome	3
TSB_Re359_2	4.608156	Hineson	TSB_Re359	Rhizome	3
TSB_Re359_3	4.646453	Hineson	TSB_Re359	Rhizome	3
TSB_Re359_1	8.020593	β_Eudesmol	TSB_Re359	Rhizome	3
TSB_Re359_2	7.143334	β_Eudesmol	TSB_Re359	Rhizome	3
TSB_Re359_3	9.19556	β_Eudesmol	TSB_Re359	Rhizome	3
TSB_Re359_1	115.3677	Atractylon	TSB_Re359	Rhizome	3
TSB_Re359_2	50.9953	Atractylon	TSB_Re359	Rhizome	3
TSB_Re359_3	119.0671	Atractylon	TSB_Re359	Rhizome	3
TSB_Re359_1	1334.43	Atractylodin	TSB_Re359	Rhizome	3
TSB_Re359_2	1124.919	Atractylodin	TSB_Re359	Rhizome	3
TSB_Re359_3	1546.28	Atractylodin	TSB_Re359	Rhizome	3
TSB_Re528_1	4.449449	Hineson	TSB_Re528	Rhizome	3
TSB_Re528_2	4.782897	Hineson	TSB_Re528	Rhizome	3
TSB_Re528_3	4.303667	Hineson	TSB_Re528	Rhizome	3
TSB_Re528_1	6.494741	β_Eudesmol	TSB_Re528	Rhizome	3
TSB_Re528_2	8.078756	β_Eudesmol	TSB_Re528	Rhizome	3
TSB_Re528_3	7.183198	β_Eudesmol	TSB_Re528	Rhizome	3
TSB_Re528_1	31.81908	Atractylon	TSB_Re528	Rhizome	3
TSB_Re528_2	159.7557	Atractylon	TSB_Re528	Rhizome	3
TSB_Re528_3	13.28466	Atractylon	TSB_Re528	Rhizome	3
TSB_Re528_1	1106.217	Atractylodin	TSB_Re528	Rhizome	3
TSB_Re528_2	1276.416	Atractylodin	TSB_Re528	Rhizome	3
TSB_Re528_3	1148.776	Atractylodin	TSB_Re528	Rhizome	3
TSB_Re1030_1	78.73207	Hineson	TSB_Re1030	Rhizome	3
TSB_Re1030_2	77.72854	Hineson	TSB_Re1030	Rhizome	3
TSB_Re1030_3	98.87388	Hineson	TSB_Re1030	Rhizome	3
TSB_Re1030_1	57.66941	β_Eudesmol	TSB_Re1030	Rhizome	3
TSB_Re1030_2	58.41688	β_Eudesmol	TSB_Re1030	Rhizome	3
TSB_Re1030_3	72.75608	β_Eudesmol	TSB_Re1030	Rhizome	3
TSB_Re1030_1	68.17418	Atractylon	TSB_Re1030	Rhizome	3
TSB_Re1030_2	103.2316	Atractylon	TSB_Re1030	Rhizome	3
TSB_Re1030_3	210.7374	Atractylon	TSB_Re1030	Rhizome	3
TSB_Re1030_1	916.2762	Atractylodin	TSB_Re1030	Rhizome	3
TSB_Re1030_2	937.3556	Atractylodin	TSB_Re1030	Rhizome	3
TSB_Re1030_3	1222.857	Atractylodin	TSB_Re1030	Rhizome	3
TSB_Sa564_1	4.161716	Hineson	TSB_Sa564	Rhizome	3
TSB_Sa564_2	4.501656	Hineson	TSB_Sa564	Rhizome	3
TSB_Sa564_3	4.168971	Hineson	TSB_Sa564	Rhizome	3
TSB_Sa564_1	6.182068	β_Eudesmol	TSB_Sa564	Rhizome	3
TSB_Sa564_2	5.93646	β_Eudesmol	TSB_Sa564	Rhizome	3
TSB_Sa564_3	6.11785	β_Eudesmol	TSB_Sa564	Rhizome	3
TSB_Sa564_1	6.470604	Atractylon	TSB_Sa564	Rhizome	3
TSB_Sa564_2	102.0318	Atractylon	TSB_Sa564	Rhizome	3
TSB_Sa564_3	28.05636	Atractylon	TSB_Sa564	Rhizome	3
TSB_Sa564_1	1045.976	Atractylodin	TSB_Sa564	Rhizome	3
TSB_Sa564_2	1010.764	Atractylodin	TSB_Sa564	Rhizome	3
TSB_Sa564_3	1221.226	Atractylodin	TSB_Sa564	Rhizome	3
TSB_Sa789_1	87.39418	Hineson	TSB_Sa789	Rhizome	3
TSB_Sa789_2	110.7689	Hineson	TSB_Sa789	Rhizome	3
TSB_Sa789_3	101.9949	Hineson	TSB_Sa789	Rhizome	3
TSB_Sa789_1	66.21295	β_Eudesmol	TSB_Sa789	Rhizome	3
TSB_Sa789_2	83.27982	β_Eudesmol	TSB_Sa789	Rhizome	3
TSB_Sa789_3	78.41903	β_Eudesmol	TSB_Sa789	Rhizome	3
TSB_Sa789_1	222.2055	Atractylon	TSB_Sa789	Rhizome	3
TSB_Sa789_2	147.2871	Atractylon	TSB_Sa789	Rhizome	3
TSB_Sa789_3	163.9746	Atractylon	TSB_Sa789	Rhizome	3
TSB_Sa789_1	1227.562	Atractylodin	TSB_Sa789	Rhizome	3
TSB_Sa789_2	943.3368	Atractylodin	TSB_Sa789	Rhizome	3
TSB_Sa789_3	987.4361	Atractylodin	TSB_Sa789	Rhizome	3
