Name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__Thauera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Uliginosibacterium	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Zoogloea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Rhodocyclaceae	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Rhodocyclaceae	0	0	13	15	0	110	0	0	0	0	0	0	0	0	3	0	0	23	0	0	0	0	0	26	0	0	0	5	0	0	6	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	2	0	0
g__norank_f__SC-I-84	223	20	363	0	35	404	153	132	204	83	330	351	89	586	64	127	6	59	76	244	0	200	144	128	99	327	41	274	89	217	281	319	84	212	419	85	166	97	399	202	178	24	170	0	269	84	106	316	16	373	64	102	160	0	176	16	308	188	175	24	42	135	147	342	297	300	60	203	77	86	251
g__AAP99	0	0	0	6	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Turicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Sutterellaceae	81	0	0	0	31	0	0	17	61	0	0	0	0	0	30	32	0	17	11	73	0	73	0	0	21	0	9	0	0	0	0	0	24	0	0	0	6	0	0	0	4	9	4	0	0	0	32	3	0	0	21	7	60	0	0	0	0	94	6	0	11	0	0	0	6	0	18	0	27	0	0
