Name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__Abditibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g__norank_o__AKIW659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bryobacter	17	119	26	0	118	58	101	29	15	49	94	63	69	30	9	21	72	166	212	11	208	31	106	12	10	46	141	34	146	27	33	134	16	75	39	138	73	88	112	168	155	159	13	11	56	168	15	103	66	20	17	73	20	127	82	139	69	4	148	92	7	137	1	69	17	81	13	78	10	87	215
g__Paludibaculum	2	0	0	0	0	0	0	7	4	0	0	0	0	0	1	0	0	0	0	13	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Bryobacteraceae	0	0	0	0	0	0	0	0	3	0	4	0	0	0	5	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
g__norank_o__Elev-16S-1166	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	7	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__PAUC26f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Solibacter	30	154	40	0	273	120	128	20	17	94	206	223	36	174	0	20	124	321	318	20	219	44	150	26	0	125	304	69	112	44	53	198	7	177	64	199	160	178	230	128	217	261	29	35	134	169	5	295	95	76	0	148	28	231	170	66	212	0	263	180	0	60	1	166	37	146	6	125	0	203	301
g__norank_o__Subgroup_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Subgroup_13	0	0	0	0	0	6	0	0	0	0	14	0	0	0	0	0	2	0	4	0	0	0	0	0	0	5	18	0	0	0	2	0	0	5	0	0	0	0	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	27	0	3	4	0	0	0	4	0	10	0	0	0	0	0
g__norank_o__Subgroup_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
g__norank_o__Subgroup_2	0	370	69	18	869	127	126	0	0	233	217	109	486	71	0	2	467	1097	566	0	553	6	513	69	0	23	2492	109	1510	61	38	706	0	93	38	224	1027	365	129	407	718	940	6	344	53	480	0	999	188	38	2	526	40	1091	257	524	116	0	639	461	0	276	18	127	47	221	0	246	0	2145	678
g__Acidicapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
g__Edaphobacter	0	17	0	0	17	0	6	11	0	36	0	0	19	0	0	0	21	31	17	0	31	0	12	16	0	0	17	6	5	5	0	21	0	0	4	20	5	4	0	6	0	27	0	26	0	8	0	16	26	0	0	13	0	37	17	5	0	0	16	16	0	13	0	0	0	0	0	9	0	44	27
g__Granulicella	0	25	0	0	76	0	23	0	0	68	4	19	141	6	0	0	61	141	43	0	193	0	29	0	0	6	33	2	74	7	0	68	0	3	0	54	35	59	27	27	60	100	0	30	0	66	0	38	42	7	0	96	16	145	53	178	12	0	42	21	0	9	0	7	0	14	0	26	0	42	25
g__Occallatibacter	0	44	0	0	9	0	5	0	0	14	29	0	18	0	0	0	47	27	11	0	33	0	0	7	0	0	8	0	0	0	0	38	0	7	0	17	22	5	14	7	0	32	0	32	0	0	0	26	0	0	0	16	0	39	13	0	16	0	39	57	0	3	0	12	0	26	0	7	0	12	38
g__Silvibacterium	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	23	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
g__Terracidiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Terriglobus	0	4	0	7	0	0	0	0	0	0	20	0	0	5	0	0	0	0	2	0	0	0	0	3	0	0	2	3	0	0	8	0	0	0	4	0	10	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	2	4	0	0	0	0	11
g__norank_f__Acidobacteriaceae_(Subgroup_1)	0	24	4	0	119	4	27	0	0	42	66	106	84	0	0	0	48	87	42	0	169	0	19	6	0	49	139	1	39	9	0	33	0	81	0	40	98	43	82	33	40	92	0	41	41	45	0	92	58	0	0	85	0	240	48	87	117	0	109	37	0	83	0	10	0	69	0	18	0	42	135
g__unclassified_f__Acidobacteriaceae_(Subgroup_1)	0	30	2	17	28	9	3	0	4	26	33	36	12	0	0	0	76	86	17	0	136	0	40	19	0	6	22	6	15	6	0	0	0	6	0	13	32	10	8	0	27	86	0	37	7	0	0	25	22	7	0	25	7	71	33	56	30	0	24	23	0	36	0	0	0	18	0	20	0	0	10
g__Candidatus_Koribacter	0	47	0	0	41	15	18	0	0	0	11	21	18	0	0	0	63	0	14	0	0	0	8	0	0	20	2	8	13	6	11	6	0	23	10	7	0	19	35	2	20	45	0	29	0	0	0	12	0	0	0	0	0	28	13	0	34	0	25	31	0	4	0	11	4	11	0	6	0	0	10
g__norank_o__Terriglobales	0	182	57	9	607	290	162	0	0	114	471	760	130	76	0	0	186	218	203	0	316	0	176	14	0	248	628	73	267	34	99	133	0	604	110	155	275	169	585	49	179	221	1	55	119	141	0	357	136	32	0	94	10	135	126	28	712	0	466	195	0	80	7	274	20	380	0	113	0	233	411
g__unclassified_o__Terriglobales	0	0	0	0	77	6	18	0	0	17	13	26	0	0	0	1	8	18	13	0	20	0	24	0	0	25	25	6	28	3	0	53	0	48	0	0	45	15	76	0	14	17	5	0	12	7	0	55	75	5	5	4	0	0	11	0	82	0	29	0	0	0	0	7	3	14	0	3	0	59	44
g__unclassified_c__Acidobacteriae	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0
g__norank_o__11-24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Holophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
g__norank_f__Holophagaceae	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Subgroup_7	0	0	8	0	0	22	0	29	0	0	11	0	0	9	16	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	15	4	13	2	47	0	1	0	0	0	0	0	16	0	28	0	17	0	0	6	29	0	0	0	0	3	0	0	0	0	0	6	0	39	9	9	0	0	0	3	17
g__norank_c__Subgroup_11	23	0	0	0	0	6	0	4	14	5	0	0	0	12	10	0	0	0	0	11	0	28	4	0	10	0	0	8	0	0	3	0	10	1	11	0	0	1	0	0	0	0	19	0	3	0	8	0	0	1	12	0	8	0	0	0	0	3	0	0	5	0	2	6	0	0	8	1	5	0	0
g__norank_c__Subgroup_22	0	0	0	0	0	0	0	0	19	0	0	0	0	23	4	0	0	0	0	8	0	26	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	3	0	3	0	0	3	14	0	2	0	0	0	0	0	0	0	11	0	0	5	4	0	8	0	9	0	0
g__norank_c__Subgroup_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0
g__norank_c__Subgroup_5	6	5	14	0	13	25	0	17	13	23	8	16	0	72	13	0	0	17	20	17	18	10	69	0	11	26	104	17	10	12	29	14	28	9	9	5	22	54	22	3	17	26	47	0	16	14	0	64	0	46	7	4	3	9	15	0	6	0	13	0	14	8	13	30	41	6	22	36	12	17	47
g__Subgroup_10	1	0	0	43	0	49	22	4	9	6	9	0	8	9	39	25	3	13	41	42	217	17	92	0	3	0	23	14	4	4	10	5	8	5	54	81	4	16	9	0	17	64	9	0	16	73	12	8	0	8	57	92	12	9	21	0	0	0	0	21	9	10	0	18	5	13	18	7	22	0	0
g__unclassified_p__Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidiferrimicrobium	55	157	55	3	326	105	129	46	39	67	142	165	85	62	46	31	173	143	199	72	192	54	121	7	25	160	160	86	59	45	134	103	46	181	134	139	81	127	183	69	115	195	68	83	169	214	49	105	103	79	41	95	47	161	142	14	205	33	129	186	20	60	21	208	59	158	32	95	46	85	139
g__norank_f__Acidimicrobiaceae	1	150	22	0	122	65	27	0	7	8	55	17	31	10	18	0	181	80	38	7	144	2	17	18	0	87	23	18	0	13	39	10	9	46	59	46	14	5	28	0	42	164	35	120	36	72	0	0	0	23	28	75	0	122	40	47	43	0	0	209	0	36	27	42	16	52	0	28	0	0	0
g__unclassified_f__Acidimicrobiaceae	0	12	0	0	62	56	40	0	0	42	36	157	0	9	0	0	13	0	23	0	0	12	37	0	0	109	28	3	66	0	99	9	0	165	111	17	49	23	98	13	16	6	0	0	97	25	0	111	21	0	29	4	0	14	37	21	114	0	104	0	0	18	0	69	0	86	0	26	0	0	96
g__norank_o__Actinomarinales	9	0	0	38	0	0	0	1	12	0	0	0	0	0	41	0	0	0	0	0	0	19	0	0	20	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	71	0	4	0	0	0	0	2	0	0	22	0	0	0	0	0	22	0	35	0	0
g__Aquihabitans	0	0	0	9	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
g__Iamia	35	3	22	20	0	0	0	32	44	0	0	0	0	0	0	0	0	0	0	16	0	46	0	0	0	0	0	0	0	0	28	0	17	0	43	6	0	0	0	3	0	0	0	0	25	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	20	0	11	33	0	16	0	0
g__unclassified_f__Iamiaceae	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CL500-29_marine_group	0	0	11	18	0	0	4	0	5	0	0	0	0	12	0	0	0	0	5	25	0	16	0	6	0	0	0	19	0	9	26	3	0	0	0	24	0	0	0	6	8	0	8	0	0	0	0	0	0	5	11	9	5	0	6	0	0	0	0	3	0	9	19	0	23	0	0	8	0	0	0
g__Desertimonas	80	2	14	51	0	0	19	56	120	5	0	0	8	0	30	94	8	0	5	71	0	90	10	6	27	0	0	14	0	4	0	5	35	0	0	4	0	11	4	8	9	0	13	0	0	6	47	0	0	13	47	0	48	0	12	0	0	33	0	0	23	13	10	0	12	1	21	5	46	0	0
g__Ilumatobacter	16	0	15	86	0	5	0	27	39	0	0	0	0	17	12	21	0	0	0	45	0	32	0	6	29	6	0	9	0	3	25	0	16	0	9	0	0	3	0	8	0	0	17	0	11	0	19	0	0	15	23	0	5	0	0	0	0	0	0	0	16	8	15	7	25	0	16	3	30	0	0
g__norank_f__Ilumatobacteraceae	15	8	0	10	0	0	18	12	17	0	2	0	0	28	0	15	0	0	0	10	0	17	0	0	17	0	0	19	0	1	0	6	18	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	1	0	0	7	0	0	0	0	0	20	2	0	0	1	7	32	0	27	0	5
g__unclassified_f__Ilumatobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__IMCC26207	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Microtrichaceae	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
g__unclassified_f__Microtrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
g__norank_o__Microtrichales	64	5	0	0	0	72	98	194	35	28	62	58	0	40	18	172	0	0	36	132	0	45	41	4	0	78	32	30	36	13	83	22	13	34	96	23	51	24	54	15	36	5	63	0	93	28	12	49	0	33	0	21	55	0	53	0	22	27	37	0	4	0	0	80	58	72	13	34	29	0	31
g__unclassified_o__Microtrichales	43	22	11	36	0	41	69	38	22	21	0	4	0	41	17	12	11	0	26	63	0	41	55	0	28	0	6	10	25	10	16	51	29	28	3	43	0	57	29	48	35	17	65	9	7	39	11	22	35	50	20	13	23	0	45	0	26	11	18	24	13	34	0	22	29	15	9	34	11	22	27
g__unclassified_c__Acidimicrobiia	11	0	29	10	24	0	45	20	13	0	14	20	0	0	19	21	40	0	0	38	0	36	59	31	43	89	18	26	0	23	0	0	11	28	15	0	9	0	50	0	29	0	0	34	25	41	17	9	0	0	0	18	0	0	0	0	49	15	0	8	12	0	38	52	48	0	0	44	25	0	14
g__norank_o__0319-7L14	2	0	0	0	0	8	0	0	0	0	16	0	0	0	15	0	0	0	0	0	0	2	0	0	13	0	56	0	0	0	0	0	7	0	0	5	4	0	0	0	0	0	0	0	0	0	9	5	11	0	12	0	0	0	0	0	1	0	13	0	5	0	0	3	0	10	0	0	8	0	4
g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Schaalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Winkia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bifidobacterium	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinocrinis	0	0	0	0	10	17	0	0	0	0	90	24	0	0	0	0	10	22	0	0	37	0	0	0	0	0	0	0	0	0	25	0	0	0	0	4	15	0	13	0	0	0	0	9	32	19	0	0	26	0	0	16	0	15	0	0	31	0	28	19	0	0	0	22	0	79	0	3	0	185	11
g__Actinospica	0	5	15	0	36	0	36	0	1	0	0	0	34	0	0	0	44	89	35	0	80	0	0	3	0	20	0	6	15	9	0	9	0	0	3	26	0	9	27	0	24	19	0	23	0	0	0	0	0	0	0	35	11	95	12	41	25	0	8	17	0	98	2	5	0	3	0	0	0	11	0
g__norank_f__Actinospicaceae	0	13	0	0	0	0	0	0	0	10	9	20	28	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	15	21	14	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	7	0	0	0	0	0	0	9	0	0	0	74	0
g__unclassified_f__Actinospicaceae	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	17	0	0	0	23	37	0	0	0	0	24	0	0	0	0	13	0	0	17	0	0	0	0	0	0	0	5	45
g__Catenulispora	0	61	12	0	26	12	8	0	0	24	18	30	17	14	0	0	10	35	12	0	50	0	0	21	0	10	14	1	7	6	11	6	0	14	10	14	23	5	44	4	9	34	0	50	6	11	0	29	7	8	0	13	0	31	5	0	31	0	41	55	0	14	0	14	2	24	0	6	0	8	11
g__norank_o__Elev-16S-976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Euzebyaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidothermus	0	612	50	32	2321	98	892	10	2	409	394	653	812	112	0	0	789	1898	849	15	1228	2	374	23	0	481	933	26	418	5	74	1073	0	513	98	850	618	304	596	306	823	1630	126	609	201	964	1	604	2525	98	0	964	64	2507	906	965	627	0	640	859	0	301	0	161	35	343	0	112	0	782	625
g__Cryptosporangium	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	18	0	0	0	0	0
g__Frankia	1	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0
g__Jatrophihabitans	0	117	45	0	24	58	176	41	0	141	184	266	37	51	0	32	196	67	83	17	95	0	83	127	0	308	12	39	48	92	46	134	0	399	36	198	93	92	301	18	144	46	17	101	143	195	0	59	219	80	0	68	0	107	188	48	329	0	136	186	0	93	14	80	34	224	0	105	0	93	97
g__unclassified_f__Frankiaceae	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0
g__Blastococcus	53	0	85	86	0	0	37	0	46	0	70	0	97	57	191	29	0	0	0	21	0	42	0	58	190	62	0	62	0	42	53	12	160	94	23	0	53	0	22	0	0	0	72	0	74	0	220	33	0	49	220	0	64	6	0	0	24	55	56	0	71	24	105	59	180	40	146	0	164	0	41
g__Geodermatophilus	0	0	30	0	0	0	56	0	0	20	41	107	110	0	20	36	0	0	9	0	0	0	0	0	31	105	0	0	18	0	0	14	14	92	0	16	9	33	132	7	14	0	0	0	42	9	34	11	48	30	21	29	0	0	20	0	70	0	21	0	0	0	0	9	39	47	30	33	16	0	11
g__Klenkia	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
g__Modestobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
g__unclassified_f__Geodermatophilaceae	0	0	10	0	0	0	0	0	0	0	0	0	24	0	60	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0	0	71	0	0	0	0	0	0	11	0	0	0	0	0	0	27	0	10	0	0	0	0	0	0	0	0
g__Nakamurella	10	24	44	35	4	27	18	0	12	12	10	0	41	2	5	9	41	0	3	6	0	0	7	10	3	8	0	7	0	19	32	0	0	0	16	16	0	4	0	16	3	0	0	23	10	14	11	0	0	8	12	0	2	0	17	26	0	0	3	33	0	29	17	42	22	9	0	0	0	0	0
g__Vallicoccus	0	0	0	0	0	0	0	35	6	0	3	0	0	0	0	15	0	0	0	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
g__Candidatus_Planktophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Longivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sporichthya	0	2	0	0	0	0	0	0	0	0	33	9	11	0	0	0	12	0	0	0	0	0	3	8	0	0	0	0	0	9	31	0	0	0	14	0	0	0	0	0	10	0	0	0	33	0	0	0	0	11	0	0	0	10	18	0	0	0	0	8	0	6	0	16	0	40	0	10	0	0	0
g__hgcI_clade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
