name	JSJH_P_2	AHHS_W_3	SXXY_W_4	HNSX_W_10	AHSZ_W_5	HNSX_P_16	SXYZ_P_7	HBYX_P_5	SXXY_W_3	AHJZ_P_17	HNSX_W_20	SXXY_W_2	HBLT_W_4	HBLT_W_1	JSTS_W_49	AHSZ_W_2	HBHA_P_9	HNSX_W_18	HBHM_W_14	HBHM_W_9	HBHA_P_3	HBHA_P_4	JSTS_W_48	HBLT_W_5	AHHS_W_1	JSJH_P_8	HNSX_W_15	AHJZ_P_21	HBYX_P_2	JSTS_W_45	SXYZ_P_15	HBYX_W_14	HBHM_W_6	AHYX_P_18	JSJR_P_6	HNSX_P_3	AHYX_P_9	HBYX_W_21	SXXY_W_6	JSTS_W_44	HBHM_W_1	AHSZ_W_3	JSJH_P_4	HBLT_W_3	AHYX_P_5	HNSX_W_8	JSJR_P_3	HNSX_P_20	HNSX_P_6	AHHS_W_2	HBYX_W_17	AHSZ_W_4	HBYX_P_4	JSJR_P_5	SXYZ_P_13	JSJR_P_14	HBLT_W_2	HNSX_P_7	JSJH_P_5	AHHS_W_4	AHSZ_W_1	AHJZ_P_13	HBHA_P_12	JSJH_P_3	JSTS_W_47	HBYX_P_1	HBHA_P_2	HBYX_P_3	SXXY_W_1	AHYX_P_7
g__norank_f__Mitochondria	21	59	10	149	404	57	22	13	23	59	7	29	12	14	12	91	31	33	12	34	122	37	16	29	68	396	22	124	55	14	130	16	13	255	83	305	417	6	28	10	26	37	6	5	107	27	72	26	45	95	26	43	48	48	218	70	17	157	119	43	19	455	654	116	4	163	24	72	19	109
g__Candidatus_Megaira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
g__norank_f__Rickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
g__unclassified_f__Rickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
g__norank_f__SM1B06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__SM2D12	0	11	1	4	0	9	0	0	23	0	0	9	0	0	6	0	0	16	7	1	0	0	0	4	3	0	20	0	2	2	5	0	0	31	0	15	0	25	11	20	0	4	0	0	0	20	0	0	0	9	0	10	29	0	0	3	0	8	0	21	8	5	0	0	12	0	0	6	46	0
g__norank_o__Rickettsiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_o__Rickettsiales	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Taonella	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Altererythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Blastomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Croceibacterium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__DSSF69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
