,Genotype,Chemotype,Bacteria_diversity_shannon,Fungi_diversity_shannon,Bacteria_composition,Fungi_composition,Al,Tmean6,prec4,prec5,prec7
56,2,2,4.285249,1.79231,-0.107529227,0.435737035,1158.19,26.6,57.61,95.21,106.1
57,2,2,4.467625,1.987216,-0.395750105,0.375554997,1158.19,26.6,57.61,95.21,106.1
58,2,2,3.861898,1.51579,0.115293918,0.44614922,684.43,26.6,57.61,95.21,106.1
59,2,2,4.482313,1.483392,-0.227579695,0.600355617,684.43,26.6,57.61,95.21,106.1
60,2,2,2.91833,1.921333,0.205467623,0.569306225,684.43,26.6,57.61,95.21,106.1
61,2,2,4.230972,1.44493,-0.048123143,0.609434905,684.43,26.6,57.61,95.21,106.1
62,2,2,3.34784,1.614858,-0.283652888,0.342388375,684.43,26.6,57.61,95.21,106.1
63,2,2,4.309957,1.041449,0.040539996,0.563812001,1623.45,23.1,46.24,41.5,92.61
64,2,2,2.349955,2.015026,0.345845469,0.478515652,1623.45,23.1,46.24,41.5,92.61
65,2,2,4.737861,1.765395,-0.225715046,0.542346321,1623.45,23.1,46.24,41.5,92.61
66,2,2,4.571301,1.132671,-0.087943648,0.565213293,1623.45,23.1,46.24,41.5,92.61
67,2,2,4.831537,1.751292,-0.157488924,0.140298513,1623.45,23.1,46.24,41.5,92.61
68,2,2,4.628908,1.436263,-0.25318977,0.56457994,1623.45,23.1,46.24,41.5,92.61
69,2,2,3.935622,1.08836,0.174466088,0.565615751,1131.33,23.4,43.55,36.4,85.55
70,2,2,2.942141,1.237473,0.295093314,0.567502718,1131.33,23.4,43.55,36.4,85.55
71,2,2,3.635644,1.639663,0.251365993,0.593446748,1131.33,23.4,43.55,36.4,85.55
