function	description	AHHS_W_1S	AHHS_W_2S	AHHS_W_3S	AHHS_W_4S	AHJZ_P_13S	AHJZ_P_17S	AHJZ_P_21S	AHSZ_W_1S	AHSZ_W_2S	AHSZ_W_3S	AHSZ_W_4S	AHSZ_W_5S	AHYX_P_18S	AHYX_P_5S	AHYX_P_7S	AHYX_P_9S	HBHA_P_12S	HBHA_P_2S	HBHA_P_3S	HBHA_P_4S	HBHA_P_9S	HBHM_W_14S	HBHM_W_1S	HBHM_W_6S	HBHM_W_9S	HBLT_W_1S	HBLT_W_2S	HBLT_W_3S	HBLT_W_4S	HBLT_W_5S	HBYX_P_1S	HBYX_P_2S	HBYX_P_3S	HBYX_P_4S	HBYX_P_5S	HBYX_W_14S	HBYX_W_17S	HBYX_W_21S	HNSX_P_16S	HNSX_P_20S	HNSX_P_3S	HNSX_P_6S	HNSX_P_7S	HNSX_W_10S	HNSX_W_15S	HNSX_W_18S	HNSX_W_20S	HNSX_W_8S	JSJH_P_2S	JSJH_P_3S	JSJH_P_4S	JSJH_P_5S	JSJH_P_8S	JSJR_P_14S	JSJR_P_3S	JSJR_P_5S	JSJR_P_6S	JSTS_W_44S	JSTS_W_45S	JSTS_W_47S	JSTS_W_48S	JSTS_W_49S	SXXY_W_1S	SXXY_W_2S	SXXY_W_3S	SXXY_W_4S	SXXY_W_6S	SXYZ_P_13S	SXYZ_P_15S	SXYZ_P_7S
1.14.13.22	Cyclohexanone monooxygenase	4248.0	3064.0	3252.5	3332.2200000000003	3823.33	3083.7200000000003	3636.73	5106.0	6143.0	4605.75	5884.79	4318.5	3275.94	3124.5	2920.49	3501.69	2348.83	2486.0	2327.91	1775.97	2532.44	3242.0	4412.5	6809.0	3446.61	6538.0	4765.5	9137.27	6717.0	6475.48	822.5	683.5	1162.0	819.5	1080.5	5760.5	3624.0	6017.5	2324.0	3287.76	2930.86	3546.03	4457.57	7385.0	6194.610000000001	8620.44	8517.83	7581.5	2642.94	2910.46	3669.39	2745.41	1414.34	2882.5	4398.570000000001	3651.96	3392.0	8653.17	7919.5	5745.67	6917.17	6429.33	1364.17	2834.5	2552.5	2444.0	1689.0	722.1700000000001	576.6700000000001	791.0
1.14.13.221	Transferred entry 1.14.15.28	614.5	504.5	450.0	523.0	491.5	454.0	463.5	515.0	835.5	647.5	851.0	613.0	468.0	442.0	413.0	454.5	164.5	281.0	224.0	120.5	213.5	220.0	534.5	863.0	308.5	578.5	582.5	1430.5	841.5	546.0	102.0	49.5	154.5	95.0	126.0	743.5	368.0	849.5	295.0	325.5	340.5	450.5	611.5	921.0	701.0	729.0	593.5	709.5	279.5	352.0	469.5	318.0	218.0	286.0	432.0	258.5	295.5	865.0	1045.0	816.5	701.0	891.5	248.5	271.0	329.0	307.5	254.0	79.5	66.0	107.0
1.14.13.222	Aurachin C monooxygenase/isomerase	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	15.25	0.0	22.0	0.0	0.0	0.0	0.0	0.0	43.0	10.0	0.0	0.0	0.0	4.0	0.0	14.0	51.0	0.0	22.0	12.0	35.0	16.0	33.0	11.0	12.0	6.0	3.5	5.33	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	9.75	27.25	14.25	0.0	0.0	0.0	0.0	0.0	4.33	0.0	2.33	1.33	0.0	12.0	13.0	12.0
1.14.13.224	Violacein synthase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	29.0	0.0	0.0	12.0	35.0	16.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	13.0	12.0
1.14.13.226	Acetone monooxygenase (methyl acetate-forming)	145.5	186.5	154.5	243.25	366.5	202.5	252.0	226.0	299.25	209.0	336.25	169.75	331.0	530.75	413.0	197.5	239.25	149.75	116.0	173.75	177.25	117.25	81.75	100.5	129.75	295.5	75.5	171.42000000000002	157.5	215.33	61.75	87.75	88.5	27.0	100.25	82.0	184.75	217.0	288.0	566.25	191.25	134.5	390.5	195.5	257.75	183.5	1051.0	188.25	763.0	385.0	189.5	256.25	134.0	32.0	166.5	184.0	203.25	69.0	97.5	54.5	146.0	73.75	31.75	62.0	76.25	147.5	92.5	7.25	11.25	0.0
1.14.13.227	Propane 2-monooxygenase	1490.0	2255.0	1881.0	2111.0	291.0	583.0	605.0	246.0	416.0	57.0	148.0	212.0	199.0	264.0	110.0	398.0	360.0	110.0	133.0	214.0	158.0	346.0	316.0	348.0	352.0	230.0	151.0	412.34	145.0	417.66	118.0	73.0	171.0	126.8	142.0	190.0	322.0	763.0	802.0	8028.0	1719.0	985.0	8257.0	298.0	581.0	219.0	1111.0	668.0	481.0	578.0	128.0	202.0	0.0	134.0	366.0	286.0	429.0	207.0	317.0	242.0	276.0	342.0	45.0	103.0	42.0	96.0	59.4	0.0	11.0	51.4
1.14.13.229	Tert-butanol monooxygenase	598.25	514.4200000000001	524.66	540.25	356.16	443.33	473.5100000000001	703.4	699.0799999999999	737.3299999999999	484.42	522.42	380.33	359.59000000000003	387.5	434.0	347.92	295.75	294.17	276.09000000000003	334.09000000000003	583.75	310.42	476.34	797.74	862.34	563.5	726.25	627.4300000000001	844.5	24.75	18.75	38.5	42.0	44.25	470.5	444.75	488.0	392.16	786.9200000000001	459.25	656.0	522.0	650.66	982.16	1131.66	980.58	1263.09	377.0	593.0	697.1700000000001	388.58	196.5	287.0	517.6700000000001	514.66	457.75	1234.17	781.0	817.3199999999999	1227.83	647.75	164.75	376.0	313.25	340.5	229.5	18.25	29.25	67.0
1.14.13.23	3-hydroxybenzoate 4-monooxygenase	253.0	516.6700000000001	196.16000000000005	343.0	49.66	167.82999999999998	133.01	301.4	273.83	454.33	92.17	89.67	113.33	96.84	175.5	155.5	109.67	41.0	42.17	118.34	65.84	169.5	4.67	153.84000000000003	465.82	346.84000000000003	223.0	124.25	270.93000000000006	79.5	0.0	0.0	0.0	0.0	0.0	58.5	45.0	0.0	146.16000000000005	422.67	215.0	189.5	237.5	259.16	463.16	242.16	200.83	466.84	448.0	433.00000000000006	305.67	109.33	91.5	0.0	58.17	79.66	46.5	170.17000000000002	94.5	301.81999999999994	320.83	56.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0
1.14.13.232	6-methylpretetramide 4-monooxygenase	0.0	0.0	0.0	0.0	73.0	15.0	26.0	20.0	0.0	0.0	44.0	34.0	94.0	88.0	0.0	20.0	0.0	0.0	28.0	0.0	56.0	28.0	0.0	0.0	0.0	5.0	3.0	0.0	11.0	0.0	0.0	0.0	12.0	0.0	0.0	80.0	10.0	41.0	0.0	5.0	45.0	80.0	8.0	0.0	82.0	0.0	20.0	0.0	40.0	0.0	0.0	44.0	0.0	0.0	125.0	43.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	26.0	0.0	0.0	0.0	0.0
1.14.13.233	4-hydroxy-6-methylpretetramide 12a-monooxygenase	0.0	0.0	0.0	0.0	37.0	15.0	26.0	20.0	0.0	0.0	26.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	23.0	10.0	14.0	0.0	0.0	15.0	40.0	0.0	0.0	41.0	0.0	10.0	0.0	20.0	0.0	0.0	22.0	0.0	0.0	80.0	43.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0	0.0	0.0	0.0	0.0
